dataset,num_rotations,bootstrap_size,num_trees,fold,accuracy,balanced_accuracy,f1_micro,f1_macro,precision,recall,jaccard
epsilon,10,25,5,5,0.774414855728978,0.7744140279617557,0.774414855728978,0.7744101624582924,0.7744354852999015,0.774414855728978,0.6318687241110051
epsilon,10,50,5,1,0.7872249946843771,0.7872205079181156,0.7872249946843771,0.787221938760186,0.7872250816088423,0.7872249946843771,0.6491100534155084
epsilon,10,50,5,2,0.7829640756039554,0.7829640445983892,0.7829640756039554,0.7829640429248442,0.7829641569028424,0.7829640756039554,0.6433368396462101
epsilon,10,50,5,3,0.7655068267478721,0.7655028811958543,0.7655068267478721,0.7655034290148602,0.7655109995915431,0.7655068267478721,0.6200961770973528
epsilon,10,50,5,4,0.7846090390960904,0.7846091141675982,0.7846090390960904,0.7846085784861594,0.7846116755205843,0.7846090390960904,0.6455604943479489
epsilon,10,50,5,5,0.7780513102483037,0.7780505317993152,0.7780513102483037,0.7780472086999218,0.7780697689977508,0.7780513102483037,0.6367256790248174
epsilon,50,10,1,1,0.795529873800858,0.7955222572521001,0.795529873800858,0.7955248323903952,0.7955333667520404,0.795529873800858,0.6604792282580773
epsilon,50,10,1,2,0.8068719489297784,0.8068722114699898,0.8068719489297784,0.8068707019615291,0.8068806137525293,0.8068719489297784,0.6762644746531736
epsilon,50,10,1,3,0.7996031250780021,0.7996012384704404,0.7996031250780021,0.7996019137016347,0.799603708105253,0.7996031250780021,0.6661152401807288
epsilon,50,10,1,4,0.8008824117588241,0.8008824181347549,0.8008824117588241,0.8008824102346349,0.8008824372458271,0.8008824117588241,0.6678931374535232
